종목명,구분,코드,채권그룹,날짜(당일),3월이하(당일),6월이하(당일),9월이하(당일),1년이하(당일),1.5년이하(당일),2년이하(당일),2.5년이하(당일),3년이하(당일),4년이하(당일),5년이하(당일),7년이하(당일),10년이하(당일),15년이하(당일),20년이하(당일),30년이하(당일)
시가평가 4사평균 에스케이스페셜티,IR,BONDAV466104,공모/무보증A0,20260316,2.98,3.021,3.125,3.364,3.586,3.903,3.988,4.287,4.575,4.994,5.207,5.956,6.327,6.682,
시가평가 4사평균 에스엘엘중앙,IR,BONDAV460866,공모/무보증BBB0,20260316,5.105,5.67,6.174,6.592,7.287,8.083,8.479,8.869,9.069,9.32,9.373,9.825,10.221,10.646,
시가평가 4사평균 애큐온캐피탈,IR,BONDAV411884,기타금융채A0,20260316,3.87,4.105,4.248,4.394,4.575,5.053,5.249,5.668,5.939,6.182,6.251,6.751,6.948,7.107,
시가평가 4사평균 알씨아이파이낸셜,IR,BONDAV418034,기타금융채A+,20260316,3.06,3.225,3.305,3.439,3.605,4.006,4.156,4.497,4.882,5.165,5.368,5.978,6.189,6.411,
시가평가 4사평균 안양도시공사,IR,BONDAV475809,공사/공단채AA0,20260316,2.895,2.953,3.015,3.114,3.334,3.618,3.711,3.853,3.889,4.063,4.127,4.227,4.311,4.339,
시가평가 4사평균 안산도시공사,IR,BONDAV469301,공사/공단채AA0,20260316,2.968,3.015,3.078,3.189,3.401,3.694,3.777,3.951,4.014,4.177,4.233,4.349,4.401,4.442,
시가평가 4사평균 아이엠캐피탈,IR,BONDAV442411,기타금융채AA-,20260316,2.988,3.068,3.124,3.323,3.499,3.824,3.878,4.116,4.172,4.334,4.78,5.596,5.986,6.286,
시가평가 4사평균 아이엠뱅크,IR,BONDAV400527,은행채AAA,20260316,2.815,2.862,2.884,2.986,3.23,3.4,3.46,3.641,3.701,3.876,3.891,4.126,4.305,4.431,
시가평가 4사평균 아이비케이캐피탈,IR,BONDAV404016,기타금융채AA-,20260316,2.951,2.964,3.014,3.212,3.366,3.648,3.658,3.875,3.92,4.047,4.5,5.319,5.714,5.994,
시가평가 4사평균 쌍용씨앤이,IR,BONDAV400341,공모/무보증A-,20260316,3.688,3.769,3.934,4.196,4.473,4.87,5.023,5.366,5.708,6.206,6.344,7.069,7.383,7.766,
시가평가 4사평균 신한투자증권,IR,BONDAV400867,공모/무보증AA0,20260316,2.963,2.998,3.051,3.239,3.379,3.614,3.649,3.816,3.928,4.093,4.191,4.87,5.371,5.643,
시가평가 4사평균 신한캐피탈,IR,BONDAV402378,기타금융채AA-,20260316,2.949,2.969,3.027,3.234,3.387,3.668,3.684,3.904,3.964,4.123,4.558,5.376,5.751,6.042,
시가평가 4사평균 신한카드,IR,BONDAV403271,카드채AA+,20260316,2.931,2.949,2.991,3.192,3.353,3.638,3.651,3.845,3.869,3.925,4.208,5.055,5.426,5.7,
시가평가 4사평균 신한지주,IR,BONDAV405773,공모/무보증AAA,20260316,2.873,2.917,2.954,3.132,3.27,3.489,3.518,3.662,3.715,3.842,3.871,4.14,4.329,4.578,
시가평가 4사평균 신한자산신탁,IR,BONDAV444569,공모/무보증A-,20260316,5.194,5.269,5.438,5.689,5.957,6.31,6.445,6.825,7.175,7.712,7.846,8.546,8.864,9.215,
시가평가 4사평균 신한은행,IR,BONDAV400001,은행채AAA,20260316,2.802,2.849,2.871,2.972,3.216,3.384,3.444,3.625,3.683,3.858,3.876,4.112,4.282,4.409,
시가평가 4사평균 신세계푸드,IR,BONDAV403144,공모/무보증A+,20260316,2.973,3.016,3.118,3.334,3.527,3.83,3.856,4.056,4.313,4.668,4.867,5.599,6.02,6.369,
시가평가 4사평균 신세계센트럴,IR,BONDAV441440,공모/무보증AA-,20260316,2.969,3.008,3.063,3.255,3.395,3.642,3.67,3.847,3.916,4.07,4.241,5.085,5.684,6.012,
